iter	Passed	Remaining
926	1899	149
927	1900	147
928	1902	145
929	1904	143
930	1906	141
931	1907	139
932	1909	137
933	1911	135
934	1913	132
935	1915	130
936	1917	128
937	1918	126
938	1920	124
939	1922	122
940	1924	120
941	1926	118
942	1928	116
943	1930	114
944	1933	112
945	1935	110
946	1937	108
947	1939	106
948	1941	104
949	1943	102
950	1946	100
951	1948	98
952	1949	96
953	1951	94
954	1953	92
955	1955	89
956	1957	87
957	1959	85
958	1960	83
959	1962	81
960	1964	79
961	1965	77
962	1967	75
963	1970	73
964	1972	71
965	1973	69
966	1975	67
967	1977	65
968	1979	63
969	1981	61
970	1984	59
971	1986	57
972	1988	55
973	1990	53
974	1992	51
975	1993	49
976	1994	46
977	1996	44
978	1998	42
979	1999	40
980	2001	38
981	2003	36
982	2005	34
983	2009	32
984	2011	30
985	2013	28
986	2015	26
987	2017	24
988	2019	22
989	2022	20
990	2024	18
991	2027	16
992	2028	14
993	2029	12
994	2031	10
995	2034	8
996	2037	6
997	2040	4
998	2042	2
999	2044	0
